  -10.0000000       1.72292101    
  -9.99998760       1.72290301    
  -9.99997520       1.72288525    
  -9.99996185       1.72286594    
  -9.99994946       1.72284794    
  -9.99993706       1.72283006    
  -9.99992466       1.72281206    
  -9.99991226       1.72279418    
  -9.99989986       1.72277629    
  -9.99988651       1.72275698    
  -9.99987411       1.72273898    
  -9.99986172       1.72272110    
  -9.99984932       1.72270310    
  -9.99983692       1.72268522    
  -9.99982452       1.72266734    
  -9.99981117       1.72264802    
  -9.99979877       1.72263014    
  -9.99978638       1.72261214    
  -9.99977398       1.72259426    
  -9.99976158       1.72257638    
  -9.99974918       1.72255850    
  -9.99973583       1.72253919    
  -9.99972343       1.72252119    
  -9.99971104       1.72250319    
  -9.99969864       1.72248542    
  -9.99968624       1.72246742    
  -9.99967289       1.72244811    
  -9.99966049       1.72243023    
  -9.99964809       1.72241223    
  -9.99963570       1.72239435    
  -9.99962330       1.72237647    
  -9.99961090       1.72235858    
  -9.99959755       1.72233927    
  -9.99958515       1.72232127    
  -9.99957275       1.72230339    
  -9.99956036       1.72228551    
  -9.99954796       1.72226751    
  -9.99953556       1.72224963    
  -9.99952221       1.72223032    
  -9.99950981       1.72221243    
  -9.99949741       1.72219443    
  -9.99948502       1.72217655    
  -9.99947262       1.72215855    
  -9.99945927       1.72213936    
  -9.99944687       1.72212148    
  -9.99943447       1.72210348    
  -9.99942207       1.72208560    
  -9.99940968       1.72206771    
  -9.99939728       1.72204971    
  -9.99938393       1.72203040    
  -9.99937153       1.72201252    
  -9.99935913       1.72199452    
  -9.99934673       1.72197676    
  -9.99933434       1.72195876    
  -9.99932194       1.72194076    
  -9.99930859       1.72192144    
  -9.99929619       1.72190368    
  -9.99928379       1.72188568    
  -9.99927139       1.72186768    
  -9.99925900       1.72184992    
  -9.99924660       1.72183192    
  -9.99923325       1.72181261    
  -9.99922085       1.72179472    
  -9.99920845       1.72177684    
  -9.99919605       1.72175884    
  -9.99918365       1.72174096    
  -9.99917030       1.72172165    
  -9.99915791       1.72170377    
  -9.99914551       1.72168577    
  -9.99913311       1.72166789    
  -9.99912071       1.72165000    
  -9.99910831       1.72163212    
  -9.99909496       1.72161269    
  -9.99908257       1.72159481    
  -9.99907017       1.72157693    
  -9.99905777       1.72155905    
  -9.99904537       1.72154105    
  -9.99903297       1.72152317    
  -9.99901962       1.72150385    
  -9.99900723       1.72148597    
  -9.99899483       1.72146797    
  -9.99898243       1.72145009    
  -9.99897003       1.72143221    
  -9.99895668       1.72141290    
  -9.99894428       1.72139502    
  -9.99893188       1.72137702    
  -9.99891949       1.72135913    
  -9.99890709       1.72134125    
  -9.99889469       1.72132325    
  -9.99888134       1.72130394    
  -9.99886894       1.72128606    
  -9.99885654       1.72126818    
  -9.99884415       1.72125018    
  -9.99883175       1.72123230    
  -9.99881935       1.72121441    
  -9.99880600       1.72119510    
  -9.99879360       1.72117710    
  -9.99878120       1.72115934    
  -9.99876881       1.72114134    
  -9.99875641       1.72112334    
  -9.99874401       1.72110558    
  -9.99873066       1.72108614    
  -9.99871826       1.72106826    
  -9.99870586       1.72105038    
  -9.99869347       1.72103238    
  -9.99868107       1.72101450    
  -9.99866772       1.72099531    
  -9.99865532       1.72097731    
  -9.99864292       1.72095942    
  -9.99863052       1.72094154    
  -9.99861813       1.72092354    
  -9.99860573       1.72090566    
  -9.99859238       1.72088635    
  -9.99857998       1.72086835    
  -9.99856758       1.72085059    
  -9.99855518       1.72083259    
  -9.99854279       1.72081459    
  -9.99853039       1.72079682    
  -9.99851704       1.72077751    
  -9.99850464       1.72075951    
  -9.99849224       1.72074163    
  -9.99847984       1.72072363    
  -9.99846745       1.72070587    
  -9.99845505       1.72068787    
  -9.99844170       1.72066855    
  -9.99842930       1.72065067    
  -9.99841690       1.72063279    
  -9.99840450       1.72061479    
  -9.99839211       1.72059691    
  -9.99837875       1.72057760    
  -9.99836636       1.72055972    
  -9.99835396       1.72054183    
  -9.99834156       1.72052383    
  -9.99832916       1.72050595    
  -9.99831676       1.72048795    
  -9.99830341       1.72046876    
  -9.99829102       1.72045088    
  -9.99827862       1.72043288    
  -9.99826622       1.72041500    
  -9.99825382       1.72039700    
  -9.99824142       1.72037923    
  -9.99822807       1.72035980    
  -9.99821568       1.72034192    
  -9.99820328       1.72032404    
  -9.99819088       1.72030604    
  -9.99817848       1.72028828    
  -9.99816513       1.72026885    
  -9.99815273       1.72025096    
  -9.99814034       1.72023308    
  -9.99812794       1.72021508    
  -9.99811554       1.72019720    
  -9.99810314       1.72017932    
  -9.99808979       1.72016001    
  -9.99807739       1.72014213    
  -9.99806499       1.72012413    
  -9.99805260       1.72010624    
  -9.99804020       1.72008836    
  -9.99802780       1.72007048    
  -9.99801445       1.72005117    
  -9.99800205       1.72003329    
  -9.99798965       1.72001529    
  -9.99797726       1.71999741    
  -9.99796486       1.71997952    
  -9.99795246       1.71996152    
  -9.99793911       1.71994233    
  -9.99792671       1.71992433    
  -9.99791431       1.71990645    
  -9.99790192       1.71988845    
  -9.99788952       1.71987069    
  -9.99787617       1.71985126    
  -9.99786377       1.71983349    
  -9.99785137       1.71981549    
  -9.99783897       1.71979761    
  -9.99782658       1.71977961    
  -9.99781418       1.71976173    
  -9.99780083       1.71974242    
  -9.99778843       1.71972442    
  -9.99777603       1.71970665    
  -9.99776363       1.71968865    
  -9.99775124       1.71967077    
  -9.99773884       1.71965277    
  -9.99772549       1.71963358    
  -9.99771309       1.71961558    
  -9.99770069       1.71959782    
  -9.99768829       1.71957982    
  -9.99767590       1.71956193    
